年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,土砂災害,20.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,地震動,48.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,津波,56.5
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,ハード対策,57.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,避難・救助,64.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,要配慮者支援,34.8
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,防災教育,42.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,防災まちづくり,39.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり交通事故件数,66.8
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり刑法犯認知件数,61.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,空家率,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたり自殺者数,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,拡大家族世帯割合,80.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,既婚者割合,68.3
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,高齢単身世帯割合,42.3
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,居住期間が20年以上の人口割合,80.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,祭りの数,47.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,自治会・町内会加入率,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたり政治団体等の数,52.7
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたり宗教の事業所数,55.8
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたりNPOの数,53.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,関係人口創出活動指数,44.8
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,議会の女性議員割合,28.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,自治体における管理職の女性割合,21.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,地域の人間関係,自治体職員における障害者の割合,20.0
