年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,蒸発散量,45.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,地下水涵養量,58.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,土壌流出防止量,45.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,窒素除去量,44.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,リン酸除去量,44.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,NO2吸収量,42.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,SO2吸収量,46.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,洪水調整量,55.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,"表層崩壊への安全性",50.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,緑地へのアクセス度,60.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,水域へのアクセス度,54.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,オートキャンプ場への立地,45.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,NOx濃度,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,PM2.5濃度,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,ゴミのリサイクル率,43.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたりCO2排出量,54.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",51.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,環境政策指数,55.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,外水氾濫,51.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,高潮,56.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,土砂災害,37.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,地震動,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,津波,56.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,ハード対策,57.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,避難・救助,54.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,要配慮者支援,34.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,防災教育,42.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,防災まちづくり,39.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり交通事故件数,48.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり刑法犯認知件数,61.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,空家率,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたり自殺者数,20.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,拡大家族世帯割合,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,既婚者割合,72.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,高齢単身世帯割合,56.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,居住期間が20年以上の人口割合,77.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,祭りの数,44.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,自治会・町内会加入率,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたり政治団体等の数,50.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたり宗教の事業所数,62.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたりNPOの数,55.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,関係人口創出活動指数,48.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,議会の女性議員割合,61.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,自治体における管理職の女性割合,21.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,自治体職員における障害者の割合,52.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,人口あたり外国人人口,39.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,地域の人間関係,多様性政策指数,42.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,首長選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,健康寿命（男性）,65.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,健康寿命（女性）,60.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,47.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,大卒・院卒者の割合,41.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,人口あたり生涯学習講座数,52.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,58.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,46.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,完全失業率,72.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,若年層完全失業率,56.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,正規雇用者比率,49.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,高齢者有業率,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,高卒者進路未定者率,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,市区町村内で従業している者の割合,44.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,創業比率,49.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,納税者あたり課税対象所得,45.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",49.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,新規設立法人の割合,35.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,47.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
