年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,47.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,日本遺産数,71.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,大卒・院卒者の割合,34.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,人口あたり生涯学習講座数,42.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,48.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,46.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,完全失業率,59.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,若年層完全失業率,51.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,正規雇用者比率,58.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,高齢者有業率,75.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,高卒者進路未定者率,65.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,市区町村内で従業している者の割合,50.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,創業比率,33.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,納税者あたり課税対象所得,41.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",41.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,新規設立法人の割合,58.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,47.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
